Nutrient,Required,Amber Bites,Amber Clusters,Amber Crisps,Amber Cubes,Amber Flakes,Amber Loops,Amber Nibbles,Amber Puffs,Amber Swirls,Amber Twists,Azure Bites,Azure Clusters,Azure Crisps,Azure Cubes,Azure Flakes,Azure Loops,Azure Nibbles,Azure Puffs,Azure Swirls,Azure Twists,Cosmic Bites,Cosmic Clusters,Cosmic Crisps,Cosmic Cubes,Cosmic Flakes,Cosmic Loops,Cosmic Nibbles,Cosmic Puffs,Cosmic Swirls,Cosmic Twists,Crystal Bites,Crystal Clusters,Crystal Crisps,Crystal Cubes,Crystal Flakes,Crystal Loops,Crystal Nibbles,Crystal Puffs,Crystal Swirls,Crystal Twists,Dream Bites,Dream Clusters,Dream Crisps,Dream Cubes,Dream Flakes,Dream Loops,Dream Nibbles,Dream Puffs,Dream Swirls,Dream Twists,Lunar Bites,Lunar Clusters,Lunar Crisps,Lunar Cubes,Lunar Flakes,Lunar Loops,Lunar Nibbles,Lunar Puffs,Lunar Swirls,Lunar Twists,Misty Bites,Misty Clusters,Misty Crisps,Misty Cubes,Misty Flakes,Misty Loops,Misty Nibbles,Misty Puffs,Misty Swirls,Misty Twists,Nova Bites,Nova Clusters,Nova Crisps,Nova Cubes,Nova Flakes,Nova Loops,Nova Nibbles,Nova Puffs,Nova Swirls,Nova Twists,Silver Bites,Silver Clusters,Silver Crisps,Silver Cubes,Silver Flakes,Silver Loops,Silver Nibbles,Silver Puffs,Silver Swirls,Silver Twists,Velvet Bites,Velvet Clusters,Velvet Crisps,Velvet Cubes,Velvet Flakes,Velvet Loops,Velvet Nibbles,Velvet Puffs,Velvet Swirls,Velvet Twists
Nutri-J,116,0.0,0.0,32.0,0.0,0.0,0.0,43.0,24.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,36.0,29.0,0.0,20.0,0.0,0.0,0.0,56.0,59.0,0.0,25.0,4.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,0.0,0.0,5.0,42.0,0.0,1.0,11.0,18.0,0.0,57.0,0.0,58.0,12.0,0.0,0.0,0.0,54.0,48.0,54.0,0.0,0.0,0.0,12.0,0.0,0.0,53.0,41.0,0.0,25.0,19.0,0.0,11.0,0.0,0.0,56.0,0.0,0.0,3.0,50.0,16.0,15.0,0.0,0.0,45.0,25.0,0.0,0.0,0.0,0.0,38.0,0.0,28.0,7.0,10.0,2.0,0.0,18.0,0.0,0.0
Nutri-K,205,52.0,24.0,52.0,0.0,3.0,0.0,0.0,39.0,0.0,0.0,33.0,0.0,52.0,1.0,55.0,0.0,28.0,3.0,0.0,0.0,52.0,10.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,51.0,0.0,19.0,0.0,0.0,1.0,0.0,1.0,0.0,54.0,34.0,0.0,31.0,0.0,22.0,0.0,0.0,14.0,34.0,0.0,0.0,50.0,4.0,0.0,46.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,17.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,33.0,0.0,52.0,6.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,3.0,0.0,0.0,0.0,60.0,0.0,26.0,0.0,6.0,0.0,0.0,37.0
Nutri-L,147,0.0,0.0,0.0,0.0,0.0,0.0,38.0,54.0,47.0,0.0,3.0,42.0,9.0,35.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,14.0,16.0,0.0,14.0,38.0,0.0,12.0,0.0,0.0,8.0,7.0,8.0,60.0,56.0,0.0,0.0,0.0,29.0,41.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,59.0,0.0,4.0,38.0,0.0,10.0,0.0,0.0,13.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,35.0,0.0,19.0,14.0,0.0,12.0,0.0,50.0,0.0,0.0,52.0,31.0,59.0,0.0,11.0,0.0,0.0,23.0,0.0,39.0,0.0,0.0,0.0,0.0,20.0,47.0,0.0,15.0,56.0,36.0,48.0,47.0,0.0
Nutri-M,168,0.0,0.0,0.0,0.0,31.0,22.0,22.0,5.0,0.0,57.0,29.0,0.0,10.0,19.0,0.0,6.0,55.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,54.0,0.0,53.0,33.0,19.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,27.0,18.0,43.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,27.0,12.0,30.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,9.0,0.0,0.0,18.0,0.0,40.0,0.0,30.0,0.0,53.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,60.0,0.0,43.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,14.0,0.0,40.0,0.0,0.0
Nutri-N,193,0.0,38.0,2.0,60.0,54.0,0.0,56.0,0.0,10.0,0.0,0.0,6.0,23.0,14.0,0.0,0.0,57.0,0.0,2.0,0.0,17.0,0.0,0.0,10.0,56.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,46.0,44.0,0.0,8.0,28.0,29.0,0.0,0.0,0.0,0.0,52.0,49.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,4.0,13.0,50.0,52.0,0.0,0.0,0.0,5.0,0.0,8.0,0.0,0.0,22.0,43.0,0.0,0.0,6.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,16.0,14.0,0.0,12.0,0.0,0.0,10.0,0.0,0.0,55.0,7.0,13.0,0.0,0.0,50.0
Nutri-O,147,21.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,44.0,37.0,0.0,31.0,10.0,18.0,0.0,24.0,0.0,0.0,25.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,1.0,0.0,56.0,53.0,0.0,0.0,0.0,15.0,31.0,0.0,0.0,0.0,0.0,0.0,26.0,60.0,0.0,0.0,0.0,11.0,0.0,0.0,57.0,33.0,0.0,59.0,0.0,0.0,47.0,0.0,0.0,0.0,15.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,34.0,48.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,59.0,0.0,16.0,0.0,59.0,0.0,29.0,0.0,59.0,0.0
Nutri-P,73,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,6.0,10.0,0.0,59.0,0.0,0.0,0.0,45.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,18.0,0.0,32.0,60.0,0.0,0.0,27.0,43.0,30.0,0.0,49.0,20.0,0.0,0.0,0.0,0.0,40.0,0.0,8.0,47.0,31.0,0.0,0.0,0.0,33.0,19.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,47.0,14.0,17.0,29.0,0.0,0.0,0.0,60.0,0.0,0.0,55.0,14.0,0.0,0.0,0.0,12.0,28.0,16.0,0.0,0.0,0.0,46.0,0.0,49.0,0.0
Nutri-Q,257,26.0,53.0,43.0,42.0,0.0,57.0,0.0,60.0,53.0,0.0,32.0,0.0,0.0,0.0,0.0,28.0,17.0,0.0,18.0,0.0,7.0,0.0,44.0,20.0,0.0,0.0,0.0,33.0,28.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,20.0,0.0,32.0,46.0,0.0,0.0,31.0,14.0,0.0,0.0,59.0,0.0,0.0,51.0,58.0,60.0,8.0,0.0,0.0,0.0,0.0,0.0,34.0,55.0,0.0,20.0,0.0,44.0,4.0,51.0,24.0,0.0,0.0,5.0,55.0,33.0,40.0,10.0,0.0,24.0,0.0,50.0,0.0,59.0,0.0,57.0,0.0,0.0,27.0,0.0,6.0,4.0,30.0,0.0,51.0,0.0,0.0,20.0,0.0,9.0
Nutri-R,217,36.0,0.0,0.0,34.0,0.0,48.0,17.0,0.0,0.0,5.0,26.0,0.0,57.0,47.0,29.0,0.0,0.0,10.0,54.0,0.0,0.0,0.0,43.0,0.0,59.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,38.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,45.0,54.0,18.0,0.0,20.0,0.0,0.0,0.0,39.0,49.0,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,53.0,9.0,0.0,30.0,0.0,0.0,35.0,45.0,0.0,0.0,23.0,0.0,60.0,0.0,40.0,29.0,34.0,0.0,0.0,0.0,6.0,43.0,17.0,0.0,0.0
Nutri-S,130,0.0,43.0,43.0,0.0,0.0,53.0,0.0,5.0,0.0,0.0,0.0,0.0,30.0,33.0,0.0,0.0,0.0,0.0,10.0,0.0,25.0,0.0,0.0,13.0,0.0,0.0,10.0,0.0,45.0,46.0,52.0,0.0,41.0,6.0,41.0,0.0,0.0,51.0,31.0,0.0,17.0,0.0,0.0,48.0,51.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18.0,22.0,33.0,35.0,38.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,27.0,0.0,46.0,0.0,38.0,14.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,37.0,0.0,54.0,40.0,0.0,0.0,0.0,2.0,0.0,0.0,23.0,0.0,0.0,13.0,0.0,0.0,51.0,4.0,0.0
Nutri-T,121,0.0,0.0,0.0,0.0,15.0,0.0,0.0,14.0,18.0,26.0,0.0,32.0,0.0,9.0,25.0,8.0,0.0,21.0,25.0,10.0,29.0,46.0,0.0,0.0,43.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,56.0,48.0,23.0,0.0,0.0,0.0,55.0,6.0,0.0,16.0,18.0,25.0,0.0,18.0,0.0,45.0,13.0,0.0,20.0,4.0,45.0,28.0,39.0,44.0,0.0,0.0,0.0,0.0,0.0,51.0,30.0,0.0,20.0,0.0,12.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,16.0,0.0,12.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,59.0,57.0,0.0,0.0,0.0,22.0,0.0,21.0,0.0
